player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr
2103,2024,24,10861,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486,0,0.0000
2103,2024,24,10894,200,1,0,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0913,0,0.0000
2103,2024,24,10901,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135,0,0.0000
2103,2024,24,10909,200,1,0,0,1,1,0,2,0,1,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0.0345,0,0.0000
2103,2024,24,10918,200,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0320,0,0.0000
2103,2024,24,10925,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0165,0,0.0000
2103,2024,24,10929,200,1,0,5,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1412,0,0.0000
2103,2024,24,10938,200,1,0,5,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.1939,0,0.0000
2103,2024,24,10943,200,1,0,0,1,1,0,1,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0.3352,0,0.0000
2103,2024,24,10950,200,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256,0,0.0892
2103,2024,24,16,200,1,0,3,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0452,0,0.0000
2103,2024,24,21,200,1,0,3,3,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0747,0,0.0000
2103,2024,24,38,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0417,0,0.0000
2103,2024,24,52,200,1,0,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152,0,0.0000
2103,2024,24,68,200,1,0,3,3,0,3,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0471,0,-0.0269
2103,2024,24,82,200,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384,0,0.0000
2103,2024,24,127,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2103,2024,24,133,200,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0.0000
2103,2024,24,153,200,1,0,3,4,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1247,0,0.0000
2103,2024,24,170,200,1,0,3,2,2,0,4,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.1356,0,-0.0433
2103,2024,24,177,200,1,0,5,5,1,2,5,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.0678,0,0.1808
2103,2024,24,208,200,1,0,3,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090,0,0.0000
2103,2024,24,238,200,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593,0,0.0000
2104,2024,24,10748,200,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145,0,0.0000
2104,2024,24,10782,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152,0,0.0000
2104,2024,24,10796,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0814,0,0.0000
2104,2024,24,10812,200,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1521,0,0.0000
2104,2024,24,10827,200,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1184,0,0.0000
2104,2024,24,10831,200,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2104,2024,24,10839,200,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0.0000
2104,2024,24,10868,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0263,0,0.0000
2104,2024,24,10880,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027,0,0.0000
2104,2024,24,10889,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0033,0,0.0000
2104,2024,24,10894,200,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0823,0,0.0000
2104,2024,24,10909,200,1,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0048,0,0.0000
2104,2024,24,10918,200,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0151,0,-0.0252
2104,2024,24,10925,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0083,0,0.0000
2104,2024,24,10929,200,1,0,0,1,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.3391,0,-0.0128
2104,2024,24,10938,200,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114,0,0.0000
2104,2024,24,10943,200,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1016,0,0.0000
2104,2024,24,10950,200,1,0,3,2,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205,0,-0.0036
2104,2024,24,82,200,1,0,3,4,2,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458,0,0.0000
2104,2024,24,91,200,1,0,3,4,1,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0731,0,0.0000
2104,2024,24,111,200,1,0,3,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0815,0,0.0000
