player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
7337,2024,0,0,0,11,1,107,434,0,72,155,468,0,34,19,16,0,0,0,3,15,15,9,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,324,0,0,5.5973,5.7131
7341,2024,0,0,0,10,1,97,408,0,119,38,453,0,42,57,54,0,0,0,3,16,15,3,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,294,0,0,0.5817,0.3799
7342,2024,0,0,0,11,1,118,458,0,70,198,474,0,15,12,9,0,0,0,2,16,16,11,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,356,0,0,8.6641,7.7644
7343,2024,0,0,0,10,1,98,404,0,97,93,457,0,53,52,48,0,0,0,3,15,15,5,5,0,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,297,0,0,0.8525,0.9519
7344,2024,0,0,0,11,1,96,369,0,59,169,382,0,13,12,9,0,0,0,2,13,13,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,290,0,0,7.3044,5.9492
7346,2024,0,0,0,10,1,119,504,0,135,84,555,0,49,64,61,0,0,0,2,18,18,4,9,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,359,0,0,0.9883,1.0363
7347,2024,0,0,0,10,1,87,335,0,73,86,365,0,30,27,25,0,0,0,2,17,13,6,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,263,0,0,2.5918,2.8856
7350,2024,0,0,0,11,1,81,325,0,55,112,339,0,14,13,9,0,0,0,3,12,12,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,246,0,0,4.7870,4.5193
7351,2024,0,0,0,10,1,74,292,0,70,76,313,0,19,27,24,0,0,0,2,14,11,5,2,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,224,0,0,2.2533,1.9848
7354,2024,0,0,0,10,1,107,431,0,111,93,467,0,34,45,42,0,0,0,1,16,16,7,5,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,322,0,0,2.6411,2.2391
