team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
66,2024,202,3,1,211,54,229,84,57,43,14,14,24,24,59,53,850,0,6,6,3,3,2,37,16,1,1,1,3,0,0,0,2,2,6,5,3,2,0,12,0,1,5,2,2,12.1667,0.2701,0.3202,0.3981,0.7183,9.5000,7.1667,0.5000,2.3333,0.0000,0.0000,0.5000,0.5000,2.3333,1.0000,0.0000,0.5000,4.0000,106.2500,0.0000,1.3148,0.5268,3.0714,0.3253
67,2024,202,3,1,70,18,77,42,17,20,3,7,11,11,19,12,280,0,2,2,1,1,0,6,4,0,0,0,7,0,0,0,0,0,2,3,0,0,0,5,0,0,0,0,0,12.0000,0.2429,0.3117,0.6000,0.9117,8.5000,10.0000,3.5000,3.5000,0.0000,0.0000,0.0000,0.5000,1.5000,0.0000,0.0000,0.4000,5.5000,70.0000,0.0000,1.3333,0.6129,2.8571,0.2326
68,2024,202,3,1,191,53,226,52,37,48,23,27,15,15,52,55,857,0,6,6,5,1,2,30,3,2,2,0,4,1,0,0,2,4,6,4,4,2,0,10,0,1,0,1,2,11.5472,0.1937,0.3036,0.2723,0.5758,6.2830,8.1509,0.6792,4.5849,0.0000,0.0000,0.6667,0.8333,3.8333,1.0000,0.0000,0.6000,2.5472,107.1250,0.0000,1.2075,0.4860,1.7778,0.2340
69,2024,202,3,1,199,55,221,66,38,48,23,18,17,16,50,63,792,0,6,6,5,1,3,23,8,1,1,1,6,0,1,0,0,1,5,2,4,4,1,12,1,1,1,2,2,9.3273,0.1910,0.2603,0.3317,0.5919,6.2182,7.8545,0.9818,2.9455,0.1667,0.0000,0.6667,0.8333,3.8333,0.7500,0.2500,0.4167,2.6182,113.1429,0.0000,1.0182,0.4425,2.6667,0.2192
70,2024,202,3,1,179,49,209,77,45,24,17,26,24,24,54,56,813,0,6,6,1,5,0,27,11,0,1,0,7,0,0,1,2,3,5,9,4,0,0,8,1,0,0,3,0,13.5918,0.2514,0.3541,0.4302,0.7842,8.2653,4.4082,1.2857,4.7755,0.1667,0.0000,0.6667,0.1667,2.8333,0.0000,0.0000,0.6250,4.4082,116.1429,0.0000,1.4490,0.4909,0.9231,0.2550
71,2024,202,3,1,187,50,207,61,41,44,10,17,14,14,49,51,746,1,6,6,2,4,2,31,5,0,1,0,5,0,0,2,1,2,5,5,3,2,0,8,1,1,3,1,1,10.7285,0.2193,0.2899,0.3262,0.6161,7.3311,7.8675,0.8940,3.0397,0.1667,0.0000,0.5000,0.3333,1.6667,1.0000,0.0000,0.6250,2.5033,93.2500,0.0000,1.1523,0.4900,2.5882,0.2590
72,2024,202,3,1,132,36,151,50,29,30,7,16,14,13,38,35,573,0,4,4,2,2,1,17,7,2,0,1,4,0,0,1,0,1,4,3,1,3,2,10,0,0,4,1,3,11.5000,0.2197,0.3087,0.3788,0.6875,7.2500,7.5000,1.0000,4.0000,0.0000,0.0000,0.2500,0.5000,1.7500,0.3333,0.6667,0.4000,3.2500,71.6250,0.0000,1.2500,0.5205,1.8750,0.2551
73,2024,202,3,1,214,53,236,95,61,45,19,17,30,29,64,42,899,0,6,6,4,2,2,47,4,1,0,0,10,0,0,0,0,4,6,6,3,3,1,15,0,0,14,2,1,13.9245,0.2850,0.3489,0.4439,0.7929,10.3585,7.6415,1.6981,2.8868,0.0000,0.0000,0.5000,0.6667,3.1667,0.6667,0.3333,0.4000,4.9245,99.8889,0.0000,1.4717,0.6038,2.6471,0.3208
74,2024,202,3,1,229,59,269,83,57,48,3,35,35,29,51,70,1063,0,6,6,0,6,0,39,13,0,0,2,3,0,0,2,5,5,5,5,1,0,0,24,1,0,10,1,0,14.7966,0.2489,0.3606,0.3624,0.7230,8.6949,7.3220,0.4576,5.3390,0.1667,0.0000,0.1667,0.0000,0.5000,0.0000,0.0000,0.2083,4.4237,75.9286,0.0000,1.5593,0.4215,1.3714,0.3034
75,2024,202,3,1,211,52,228,91,61,39,19,12,33,31,55,57,833,0,6,6,3,3,2,43,12,1,2,0,6,0,0,0,0,2,6,4,2,3,1,14,0,0,7,0,3,12.9808,0.2891,0.3304,0.4313,0.7617,10.5577,6.7500,1.0385,2.0769,0.0000,0.0000,0.3333,0.5000,3.1667,0.6667,0.3333,0.4286,5.3654,92.5556,0.0000,1.4038,0.4911,3.2500,0.3274
