player_id,year,team_id,league_id,level_id,split_id,position,tc,a,po,er,ip,g,gs,e,dp,tp,pb,sba,rto,ipf,plays,plays_base,roe,opps_0,opps_made_0,opps_1,opps_made_1,opps_2,opps_made_2,opps_3,opps_made_3,opps_4,opps_made_4,opps_5,opps_made_5,framing,arm,zr
1237,2024,17,200,1,0,2,128,5,123,58,128,15,14,0,0,0,1,19,2,0,3,2,0,5,5,1,1,2,2,0,0,0,0,0,0,1.0800,0.0000,-0.0340
1238,2024,55,201,2,0,3,29,2,27,0,25,5,3,0,1,0,0,0,0,1,5,5,0,5,5,1,1,1,1,0,0,0,0,1,0,0.0000,0.0000,0.2476
1240,2024,78,202,3,0,3,52,1,51,0,50,6,6,0,2,0,0,0,0,1,7,8,0,7,6,1,1,0,0,0,0,1,0,0,0,0.0000,0.0000,-0.4825
1240,2024,78,202,3,0,5,1,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0000,0.0000,-0.0224
1241,2024,17,200,1,0,6,75,51,24,0,149,17,17,0,10,0,0,0,0,0,55,53,0,46,43,5,4,4,3,6,5,14,5,4,0,0.0000,0.0000,1.8001
1242,2024,111,203,4,0,4,10,3,7,0,18,2,2,0,0,0,0,0,0,0,4,4,0,5,5,0,0,0,0,1,0,1,0,0,0,0.0000,0.0000,-0.1034
1243,2024,17,200,1,0,4,81,54,27,0,149,17,17,0,12,0,0,0,0,0,51,44,0,34,33,7,6,9,9,13,8,14,1,3,0,0.0000,0.0000,3.3096
1244,2024,17,200,1,0,7,9,0,8,0,32,4,4,1,0,0,0,0,0,0,7,7,0,5,5,2,2,0,0,1,1,1,0,2,0,0.0000,-0.0287,0.2005
1244,2024,17,200,1,0,9,6,0,6,0,27,5,3,0,0,0,0,0,0,0,6,6,0,3,3,0,0,2,2,0,0,2,1,2,0,0.0000,0.5234,0.2569
1245,2024,78,202,3,0,8,17,0,16,0,55,6,6,1,0,0,0,0,0,0,16,14,0,9,9,3,3,1,0,3,1,4,3,1,0,0.0000,0.4659,1.1712
1246,2024,17,200,1,0,3,9,0,9,0,9,2,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0056
1246,2024,17,200,1,0,8,4,0,4,0,9,1,1,0,0,0,0,0,0,0,4,5,0,2,2,2,1,1,0,1,1,0,0,1,0,0.0000,0.2737,-0.6553
1246,2024,17,200,1,0,9,34,2,32,0,122,16,14,0,0,0,0,0,0,0,32,32,0,17,17,1,1,5,3,7,6,11,5,10,0,0.0000,0.6977,0.8941
1247,2024,17,200,1,0,7,3,0,3,0,16,2,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,3,3,0,0,1,0,0.0000,-0.2742,0.5953
1248,2024,17,200,1,0,7,22,0,22,0,106,13,13,0,0,0,0,0,0,2,21,22,0,12,12,1,1,5,5,2,0,9,4,5,0,0.0000,-0.2653,0.3648
1248,2024,17,200,1,0,9,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1250,2024,55,201,2,0,5,5,5,0,0,15,3,1,0,0,0,0,0,0,0,5,6,0,2,2,2,1,1,1,1,1,0,0,0,0,0.0000,0.0000,-0.0906
1250,2024,55,201,2,0,6,23,15,6,0,62,7,7,2,0,0,0,0,0,0,18,19,2,14,11,0,0,7,3,0,0,5,3,6,0,0.0000,0.0000,-0.7526
1251,2024,55,201,2,0,4,21,9,12,0,33,4,4,0,2,0,0,0,0,0,8,8,0,9,9,0,0,1,1,0,0,4,1,2,0,0.0000,0.0000,0.3524
1253,2024,78,202,3,0,2,9,1,8,16,8,1,1,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1350,0.0000,-0.3212
1256,2024,78,202,3,0,3,3,1,2,0,3,2,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0217
1257,2024,55,201,2,0,1,1,1,0,0,3,2,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.1350,0.0000,0.0664
1259,2024,63,202,3,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1350,0.0000,-0.0000
1265,2024,78,202,3,0,1,2,1,1,0,4,2,0,0,0,0,0,1,1,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.3883
1267,2024,78,202,3,0,1,1,1,0,0,6,1,1,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.2117
1268,2024,78,202,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1269,2024,78,202,3,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1270,2024,24,200,1,0,1,3,1,2,0,14,3,3,0,0,0,0,1,0,2,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,-0.1350,0.0000,-0.0425
1271,2024,24,200,1,0,1,1,1,0,0,6,1,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.1350,0.0000,-0.1507
1272,2024,90,202,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1273,2024,47,201,2,0,1,1,0,1,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1274,2024,90,202,3,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1275,2024,47,201,2,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0158
1276,2024,24,200,1,0,1,3,1,2,0,21,3,3,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.1350,0.0000,-0.1985
1277,2024,24,200,1,0,1,0,0,0,0,3,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0000,0.0000,-0.0982
1279,2024,90,202,3,0,1,1,0,0,0,3,2,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.1276
1280,2024,90,202,3,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0000
1281,2024,90,202,3,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0067
1283,2024,47,201,2,0,2,32,1,30,30,69,8,8,1,0,0,1,5,0,1,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0.1350,0.0000,0.0834
1284,2024,24,200,1,0,2,34,3,31,8,26,3,3,0,0,0,0,3,1,0,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0.4050,0.0000,0.2265
1285,2024,90,202,3,0,3,5,1,4,0,2,1,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0217
1286,2024,24,200,1,0,4,32,19,13,0,57,7,7,0,5,0,0,0,0,1,16,14,0,12,12,1,1,3,1,5,4,9,0,4,0,0.0000,0.0000,0.5909
1287,2024,47,201,2,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000
1287,2024,47,201,2,0,8,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,-0.0023
1288,2024,24,200,1,0,6,70,46,22,0,131,15,15,2,11,0,0,0,0,0,50,47,2,41,39,9,6,3,2,9,3,10,5,4,0,0.0000,0.0000,0.8856
